question,document
"Could this be a quota or rate-limit issue, and how do I tell if I’ve hit the free-tier limit?",04440cab11
Why does my Kestra flow say the Gemini key is invalid even though I already set `SECRET_GEMINI_API_KEY`?,c8ca21af33
Could the base64 secret be broken if I used `echo` instead of `echo -n` when encoding the API key?,c8ca21af33
"Do I need to restart Kestra after exporting the secret variables, or will it pick them up automatically?",c8ca21af33
"In the flow, should I call the secret as `SECRET_GEMINI_API_KEY` or just `GEMINI_API_KEY`?",c8ca21af33
Is it better to load the API keys from a `.env` file and start Kestra with `--env-file`?,c8ca21af33
Why can't I just use a notebook instead of an orchestrator for AI workflows?,193612db63
What does Kestra give me that a plain script or notebook doesn't?,193612db63
"In this module, why is Kestra used for the AI stuff instead of just examples in code cells?",193612db63
"How do retries, scheduling, secrets, and monitoring fit into orchestration?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, or other providers in Kestra without rewriting the flow?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for Module 3?",cce328db64
"For the final project, can I use Airflow, Prefect, Dagster, or just plain Python instead of Kestra?",cce328db64
"If I build my ingestion pipeline with a notebook or a simple script, will that still count toward the project grade?",cce328db64
Why does the course teach Kestra in Module 3 if other orchestrators already do similar scheduling and retries?,cce328db64
"Can I switch AI providers in a Kestra flow, like OpenAI, Gemini, or Anthropic, without rewriting the flow?",cce328db64
"Can I use Groq, Ollama, or a local model with Kestra, or is it only for Gemini?",f442efe5b4
What AI providers work with Kestra besides Gemini?,f442efe5b4
How do I switch Kestra from one model provider to another without rewriting the whole flow?,f442efe5b4
Is there a way to connect Kestra to an OpenAI-compatible service like Groq or DeepSeek?,f442efe5b4
What's the difference between Kestra's generic AI plugin and the provider-specific plugins?,f442efe5b4
Is there a way to build a Kestra flow without typing YAML by hand?,bfe5502c30
Does Kestra have something like a form editor instead of a drag-and-drop builder?,bfe5502c30
Can the AI Copilot in Kestra create a workflow from a plain English prompt?,bfe5502c30
Are there external tools or agents that can generate Kestra flows from my editor and send them to Kestra?,bfe5502c30
"For simple automations, should I use Kestra or would Zapier or n8n be a better fit?",bfe5502c30
Why does ChatGPT sometimes make up Kestra YAML fields that aren't actually valid for the plugin version I'm using?,93a3e8b98c
How can I check whether a generated Kestra flow is using the real plugin properties and not fake ones like bucket or name?,93a3e8b98c
"For GCS upload and BigQuery load steps in Kestra, what are the correct fields instead of the ones a generic AI usually invents?",93a3e8b98c
What's the safest way to generate Kestra flow YAML without ending up with properties that don't exist in my version?,93a3e8b98c
"Can plugin fields in Kestra change between releases, and how do I make sure my YAML still matches the docs?",93a3e8b98c
Why do people track token usage in Kestra workflows?,a4adc70f41
How does monitoring tokens help with LLM costs in a scheduled flow?,a4adc70f41
What’s the point of checking token counts if the workflow runs in loops?,a4adc70f41
How can token usage help me optimize prompts and outputs?,a4adc70f41
Can token tracking be used as a guardrail to stop a flow from getting too expensive?,a4adc70f41
Why do I get `mounts denied: The path /tmp/... is not shared from the host` in Docker Desktop?,dd8b4c9fda
How can I allow Docker Desktop to access `/tmp` or `/tmp/kestra-wd` for Kestra?,dd8b4c9fda
What’s the fix for the Docker error about a host path not being shared when I run `docker compose up -d`?,dd8b4c9fda
Where in Docker Desktop do I add a folder to File Sharing so Kestra starts properly?,dd8b4c9fda
"After changing Docker Desktop file sharing, do I need to restart anything before running Kestra again?",dd8b4c9fda
"Why am I getting a 404 NOT_FOUND when the Kestra flow tries to use a Gemini model, and what should I change?",d51bbe2da0
"If the Gemini model in my course workflow is unavailable, do I need to edit the YAML file or the Docker Compose config?",d51bbe2da0
How do I know which Gemini model id I should use instead of the one that returns an error in Kestra?,d51bbe2da0
Should I assume the Gemini model was removed forever if I see a temporary 404 in the workflow?,d51bbe2da0
"After replacing the Gemini model name in Kestra, do I just rerun the flow or do I also need to restart Docker Compose?",d51bbe2da0
"For the Module 3 Kestra homework, what am I supposed to upload if I did everything in the Kestra UI and not in a code editor?",f29f622684
"Do I need to submit the actual flow YAML files for the Kestra assignment, or is a README enough?",f29f622684
What should go in the public repo link for the Module 3 homework when all the work was done inside Kestra?,f29f622684
"If my Kestra flows call scripts or other files, should I include those in the homework repo too?",f29f622684
"Should I put the homework answers like Q1 and Q2 inside the repo, or are those entered somewhere else?",f29f622684
Why am I getting JSONDecodeError: Expecting value when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How do I make the model return only valid JSON instead of a markdown fence or extra text?,a3c7e1b4f9
What prompt wording should I use so the answer comes back as a JSON object with a questions list?,a3c7e1b4f9
Can I force structured JSON output with OpenAI when generating questions for evaluation?,a3c7e1b4f9
Is there a similar setting in other LLM APIs to make sure the response is pure JSON?,a3c7e1b4f9
Why does my Jupyter notebook/kernel crash when I try to embed the ground-truth data?,b8f2d6a30c
What can I do if my machine runs out of RAM while loading the embedding model in the eval notebook?,b8f2d6a30c
"Is it okay to switch to a smaller embedding model, and will that affect the evaluation results?",b8f2d6a30c
How can I handle the embedding step without blowing up memory in the notebook?,b8f2d6a30c
What are the best ways to avoid memory issues on Codespaces or a low-end laptop during evaluation?,b8f2d6a30c
Why am I still getting rate limit errors with Gemini even after adding time.sleep(4) in my loop?,c1e9f4b820
What’s the easiest way to avoid blowing through the daily quota when building the ground-truth dataset?,c1e9f4b820
"Should I switch from Gemini to gpt-4o-mini, and if so, why does that help with this task?",c1e9f4b820
How do I reduce API errors when using a thread pool for these calls?,c1e9f4b820
"If the run gets interrupted by a quota limit, what’s the best way to save progress and continue later?",c1e9f4b820
"Why do the Module 4 lesson files jump from 06 to 11, are some lessons missing?",57c8d3a1e4
I noticed Module 4 goes 01-06 and then 11-15 — what’s the reason for that numbering gap?,57c8d3a1e4
"Are there supposed to be lessons 07, 08, 09, and 10 in Module 4, or is the file naming intentional?",57c8d3a1e4
Why does Module 4 switch from RAG evaluation files to agent evaluation files with such a big number gap?,57c8d3a1e4
What’s the logic behind `06-search-tuning.md` being followed by `11-evaluation-intro.md` in Module 4?,57c8d3a1e4
How can MRR go up but Hit Rate still stay the same in evaluation?,8a5ece0688
What does it mean when Hit Rate and MRR are exactly equal — is that normal?,8a5ece0688
Why would moving the first relevant result higher improve MRR but not affect Hit Rate?,8a5ece0688
When should I suspect a bug if my Hit Rate and MRR come out identical?,8a5ece0688
Can reranking or embedding changes improve MRR without changing Hit Rate?,8a5ece0688
Where can I find the code for the agent evaluation lesson?,4de1cb9a3f
Is there a notebook or code directory for the agent-evaluation part of Module 4?,4de1cb9a3f
Which folder in the repo has the files for the agent evaluation lesson?,4de1cb9a3f
What is the path to the agent-evaluation code in llm-zoomcamp?,4de1cb9a3f
Where do I open the lesson notes for agent evaluation?,4de1cb9a3f
How can I tell if an LLM judge gave a score that doesn’t match its explanation?,b47f096063
Why shouldn’t I trust only the numeric rating from an LLM-as-judge setup?,b47f096063
What’s the easiest way to spot a weird judge output where the reasoning and score disagree?,b47f096063
"If I’m reviewing LLM-judge results, how many examples should I check by hand?",b47f096063
How should I format judge outputs so I can catch score-vs-reasoning mismatches?,b47f096063
How do I fix the WinError 126 message when torch can’t load fbgemm.dll on Windows?,15e931476c
My Windows Python install says a module couldn’t be found for fbgemm.dll — what should I install to make PyTorch work?,15e931476c
Do I need Visual C++ Redistributable or full Visual Studio for the fbgemm.dll dependency error on Windows?,15e931476c
"I’m getting an error loading torch\lib\fbgemm.dll on Windows 10/11, what’s the quickest fix?",15e931476c
"Is Visual Studio Code enough to solve the PyTorch fbgemm.dll missing dependency problem on Windows, or do I need the full Visual Studio?",15e931476c
"Why do I get psycopg2 OperationalError about not being able to translate host name ""postgres"" when I run prep.py?",4b65d5542d
How can I fix the error saying the postgres host could not be resolved in python prep.py?,4b65d5542d
"What should I change in my .env file if psycopg2 says ""could not translate host name postgres to address""?",4b65d5542d
Is the POSTGRES_HOST value supposed to be postgres or localhost for prep.py to work?,4b65d5542d
"I’m getting OperationalError: no such host for postgres, what’s the right .env setting to use?",4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
What setting do I use in Pandas to display the whole Explanation column in the offline rag evaluation notebook?,641aedbbf5
"Why does Pandas only show part of my text column, and how do I stop that?",641aedbbf5
Is there a way to remove the 50-character limit for column text in Pandas?,641aedbbf5
What command lets me see the complete judge LLM explanation in the dataframe output?,641aedbbf5
How can I normalize each vector in a Pandas DataFrame column using numpy?,5039707c1a
What’s the easiest way to turn every vector in a Pandas Series into a unit vector?,5039707c1a
How do I apply vector normalization to one column in a DataFrame and store it in a new column?,5039707c1a
Can I use apply with np.linalg.norm to normalize vectors in a column of lists or arrays?,5039707c1a
What’s the Python way to divide each vector by its own length in a pandas column?,5039707c1a
How do I get the 75th percentile of a column in a Pandas DataFrame?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find the percentile value for one column using pandas?,b4c8ac5a0c
Is there a simple method in Pandas to compute a column’s quantile?,b4c8ac5a0c
How do I use `quantile` to get the 75% value from a DataFrame column?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the running ones?",66ccbb7da0
What command removes all Docker images at once using the command line?,66ccbb7da0
Is there a terminal command to delete all Docker volumes in one shot?,66ccbb7da0
"How can I force-remove all containers, images, and volumes without doing them one by one?",66ccbb7da0
What’s the quickest way to clean up my Docker stuff completely from the shell?,66ccbb7da0
"Why does `st.session_state.submitted` keep flipping back to True in Streamlit, so the +1 and -1 buttons don’t stay disabled after I vote?",2e729f1271
"Do I need `st.rerun()` after changing session state in Streamlit, or should the UI update on its own?",2e729f1271
What’s the right way to initialize a Streamlit session flag without overwriting the value on every rerun?,2e729f1271
How can I make sure a user can only click one feedback button per answer in Streamlit?,2e729f1271
Why do Streamlit widgets keep their old disabled state until the next interaction unless I rerun the app?,2e729f1271
"Why does my Grafana pie chart keep collapsing multiple PostgreSQL feedback rows into just one slice, even though the query shows separate categories?",0cf2421dca
How can I make Grafana treat each feedback category as its own pie slice when the SQL result has a text label column and a count column?,0cf2421dca
"In Grafana, what transformation should I use after a PostgreSQL query with rows like thumbs up and thumbs down so the pie chart doesn’t just show `n`?",0cf2421dca
"Why do renaming the label field in Grafana not fix the pie chart, and why do I still end up with only one numeric slice?",0cf2421dca
What’s the correct table format and field mapping setup in Grafana to show feedback counts like `thumbs up: 3` and `thumbs down: 2` in a pie chart?,0cf2421dca
Why is my SQLite exporter getting no spans in a notebook even though I set up OpenTelemetry?,ba1d5f13e7
"What does the error ""Overriding of current TracerProvider is not allowed"" actually mean?",ba1d5f13e7
How can I fix an empty `traces.db` when I rerun the setup cells in Jupyter?,ba1d5f13e7
"If I create a new tracer provider, why does `trace.get_tracer(...)` still seem linked to the old exporter?",ba1d5f13e7
"When should I use `provider.get_tracer(""llm-zoomcamp"")` instead of `trace.get_tracer(...)`?",ba1d5f13e7
Why is my Module 5 script hanging or throwing a RecursionError when I set up OpenTelemetry with ConsoleSpanExporter?,702399225b
Do I need to upgrade opentelemetry-api and opentelemetry-sdk for the homework if I'm on Python 3.14?,702399225b
How can I check which OpenTelemetry versions my project is actually using?,702399225b
"If I can't update OpenTelemetry, is switching to Python 3.13 enough to get the homework working?",702399225b
"For the SQLite part of the homework, do I need the full SQLiteSpanExporter implementation with shutdown and force_flush?",702399225b
How can I make the homework work with Groq or Gemini instead of OpenAI if they use chat completions?,01517c80df
Do I need to set a fake OPENAI_API_KEY in starter.py when switching the monitoring assignment to another provider?,01517c80df
What parts of RAGWithMetrics should I change if my provider has an OpenAI-compatible chat completions endpoint?,01517c80df
"Why do I get a 404 when I use an OpenAI model name on Groq, and what model should I use instead?",01517c80df
"If my request is too large for the provider's token limit, what should I change in the RAG setup so it fits?",01517c80df
"Why do I get exec: ""streamlit"": executable file not found in $PATH when starting my Streamlit app with docker-compose?",e8df9f0d12
"My app works locally, but docker-compose fails with OCI runtime create failed and says streamlit isn't in PATH. What am I missing?",e8df9f0d12
"Do I need a Dockerfile before running a Streamlit app with docker-compose, or can I just use the compose file?",e8df9f0d12
How do I fix the container error where docker-compose cannot find the streamlit command inside the image?,e8df9f0d12
"After updating my Streamlit setup in docker-compose, what command should I run to rebuild and start it again?",e8df9f0d12
Why can a hybrid search setup with text and vector parts end up worse than just using keyword search?,265df9e9cc
"If my vector retriever is based on TF-IDF plus SVD, why doesn't it seem to improve the results much?",265df9e9cc
How should I check whether the vector side of my search is actually helping before I trust the hybrid score?,265df9e9cc
Why does combining two similar signals with a 50/50 weight sometimes push good documents lower in the ranking?,265df9e9cc
What kind of embedding model should I use so the vector search adds something real instead of just overlapping with text matching?,265df9e9cc
"Why does the hybrid search RRF code use a `(filename, start)` tuple instead of just the filename?",6a0b2e32ce
What problem happens if RRF merges results by document name only and ignores chunk offsets?,6a0b2e32ce
"In the LLM Zoomcamp hybrid search, how does the code tell two chunks from the same file apart?",6a0b2e32ce
Why is RRF combining chunk-level results rather than treating each source file as one item?,6a0b2e32ce
What’s the reason for using `doc['filename']` together with `doc['start']` as the result key?,6a0b2e32ce
"Is the capstone project supposed to be done solo, or can we team up?",0fab61eca2
Can I work with other students on the capstone if each of us submits our own part?,0fab61eca2
"If we build one shared system, is that allowed for the capstone project?",0fab61eca2
Do individual submissions need to be independent even if the idea was discussed with others?,0fab61eca2
What makes a capstone submission valid if multiple people collaborate on the same project idea?,0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and upload again later?",d5fc98925d
"Can I submit a second project just to practice, and does it need a different dataset?",d5fc98925d
"If I miss the first submission deadline, can I still submit in the second window and get credit?",d5fc98925d
"Is the competition considered the capstone project, or is it a separate thing?",e892d44e42
Can I use the competition instead of doing the capstone individually?,e892d44e42
"If I join the math-kaggle-llm-competition, does that count toward my capstone requirement?",e892d44e42
Is it okay to team up for the competition even though the capstone has to be solo?,e892d44e42
Do I still need to do the capstone on my own if I participate in the competition?,e892d44e42
How will the capstone project be graded in the course?,9a2e2d2008
Who reviews the submitted capstone projects?,9a2e2d2008
"Do I also have to review other students’ projects, or is it only for my own submission?",9a2e2d2008
What happens if I don’t grade three classmates’ projects?,9a2e2d2008
Is the final project score based on the average of peer reviews or something else?,9a2e2d2008
When do the peer-review assignments show up for capstone projects?,eae0fb50aa
How do I find out which projects I need to review and grade?,eae0fb50aa
Do I have to sign up to get assigned projects for peer review?,eae0fb50aa
Can I choose which students' projects I'm going to review?,eae0fb50aa
Where can I see the peer-review deadline for my assigned projects?,eae0fb50aa
"I already sent in my project, but why am I not seeing anything to review yet?",a8a7fef016
"After the deadline passes, do we get to pick which projects to evaluate ourselves?",a8a7fef016
Is it normal that I still can’t review projects before the evaluation list is out?,a8a7fef016
"When the submission deadline is over, how are projects assigned for review?",a8a7fef016
Why is there nothing available for me to grade even though I’ve already submitted?,a8a7fef016
Where can I find project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with some dataset suggestions and project inspiration for this course?,e76a70cde3
What should I look at if I need help choosing an idea or dataset for my project?,e76a70cde3
Does the course provide any links or guidance for picking a dataset and project topic?,e76a70cde3
"Can you point me to resources with ideas, datasets, and tips for the project?",e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project?",d4f7c08ea1
Can I get full points for the ingestion pipeline with just a Python script?,d4f7c08ea1
"Is a Jupyter notebook enough for the capstone ingestion part, and how many points is it worth?",d4f7c08ea1
When would it make sense to use an orchestrator in the capstone project?,d4f7c08ea1
Should I add an orchestration tool only to satisfy the project requirements?,d4f7c08ea1
How can I evaluate a recommender-style RAG if I don't have any obvious ground-truth Q&A pairs?,9b0e2d6a47
What's a good way to create synthetic test queries for retrieval evaluation in a recommender system?,9b0e2d6a47
"Should I use hit rate, MRR, or NDCG when I’m checking ranking quality in a RAG recommender setup?",9b0e2d6a47
How do I use an LLM as a judge to score the end-to-end result of a RAG system?,9b0e2d6a47
"For recommendation-style search, why is NDCG often a better metric than just checking whether the top result is correct?",9b0e2d6a47
How should I chunk a huge corpus with long PDFs and lots of paragraphs for RAG?,6f2a8b3d10
Is there a good first chunking approach I can start with before trying fancy methods?,6f2a8b3d10
Does it make sense to use an LLM to split PDFs into sections instead of fixed-size chunks?,6f2a8b3d10
Should I add summaries to each chunk when indexing a big document set?,6f2a8b3d10
"For long legal or financial docs, is hybrid search better than just dense retrieval?",6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
Do I need to put my API keys or hosted service credentials in the repo so someone can run the project?,e5d8a2c761
How should I let a reviewer rebuild the search index from scratch without sharing my secrets?,e5d8a2c761
"Should I include a .env.example file, and what should go in it for the project?",e5d8a2c761
What should I do about model choice and dependency versions to make the project easy to reproduce?,e5d8a2c761
Can I do the homework in JavaScript or another language instead of Python?,ea815eb858
"Is it okay to build the capstone project with Go, Rust, Java, or TypeScript?",ea815eb858
Do I have to use Python for all assignments in this course?,ea815eb858
"If I choose a non-Python stack, what should I include in the README so the reviewer can run it?",ea815eb858
"Will the project still be accepted if I use a different programming language, as long as it is easy to reproduce?",ea815eb858
Where do I look for earlier LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with past LLM Zoomcamp projects I can browse for ideas?,930286278d
Can I see examples of projects from previous LLM Zoomcamp cohorts?,930286278d
Do you have links to the 2024 and 2025 LLM Zoomcamp project pages?,930286278d
Where can I check what kind of capstone project scope and quality is expected?,930286278d
Do I need to reserve my capstone project idea before I start it?,897a350476
Should I announce my project topic somewhere before working on it?,897a350476
Can I just pick any capstone idea without getting approval first?,897a350476
"If my project is similar to someone else’s, is that allowed as long as I build it myself?",897a350476
Where can I ask for feedback on my capstone idea if I’m not sure about the scope?,897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a web app?,7318a90b14
"Is there any required interface for the project, or can I choose whatever I want?",7318a90b14
"Would a CLI, notebook, or Slack app be acceptable for the capstone project?",7318a90b14
Do I need to follow strict rules about how users access the project?,7318a90b14
"Will the course show me how to make the interface, or do I need to figure that part out myself?",7318a90b14
What’s the best tool to pull text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images, what should I use for OCR?",d8b28c47a0
"Is there a course-recommended library for extracting text from docs, or can I pick any tool?",d8b28c47a0
What can I use to turn PDFs into Markdown or JSON for RAG?,d8b28c47a0
Should I test a few PDF text extractors first before choosing one?,d8b28c47a0
Do I need a minimum number of documents or rows for the capstone project?,f0439b5faf
How much data should I use for the capstone if there’s no minimum size requirement?,f0439b5faf
Will my capstone project be judged based on dataset size or on the evaluation criteria?,f0439b5faf
Is a small dataset okay for the capstone as long as it shows retrieval or agent behavior well?,f0439b5faf
What should I focus on when choosing data for the capstone project?,f0439b5faf
"Does a capstone project have to use data from a live API, or can I use a file instead?",2cf500aae6
"Can I build my capstone dataset myself, or does it need to come from some external source?",2cf500aae6
"Is it okay to use API-backed data for the capstone project, and how does that affect reproducibility?",2cf500aae6
What do I need to provide so reviewers can rebuild the knowledge base for my capstone project?,2cf500aae6
Where can I check the capstone evaluation rules for data ingestion and reproducibility?,2cf500aae6
Can I build my capstone project with a dataset that isn’t in English?,5ffe92bb02
Is it okay if my app outputs are in another language for the capstone?,5ffe92bb02
"Do I have to keep the capstone dataset and responses in English, or can I use a different language?",5ffe92bb02
"If I use a non-English dataset, what parts of the capstone need to be written in English?",5ffe92bb02
"Can the project data and replies be multilingual, or only the README and setup guide have to be in English?",5ffe92bb02
"Can I use structured data like tables or database schemas for the capstone, or does it have to be documents?",6baab508b1
"Is a document-based dataset required for the capstone project, or can I work with records and table descriptions instead?",6baab508b1
"For the capstone, do I need to build around docs, or is using a database schema or other structured source okay?",6baab508b1
"If my project uses structured data, do I still need some kind of retrieval or querying step in the RAG/agent flow?",6baab508b1
"What matters most for the capstone project if I'm not using documents, and how should I judge whether my flow meets the project criteria?",6baab508b1
Is it okay to use Evidently in the capstone project?,ec22c5eb86
Can I include Evidently as part of my capstone work?,ec22c5eb86
Would using Evidently be allowed for the capstone project?,ec22c5eb86
Do you permit Evidently for the capstone project?,ec22c5eb86
Is Evidently a valid tool choice for the capstone project?,ec22c5eb86
"Do I have to come up with a totally new idea for the capstone project, or can I build something that already exists?",4179bc68b6
"Is it okay if my capstone just recreates an existing project, as long as I implement it myself?",4179bc68b6
Can I use one of the datasets from the course lectures or homework for my capstone project?,4179bc68b6
"For the capstone, is it enough to use a known idea and build it from scratch on my own?",4179bc68b6
"Are reused course datasets allowed in the capstone, or do I need to find a different dataset?",4179bc68b6
Which Git commit hash do I need to enter in the project submission form?,82207724ff
Should I submit the latest commit on my main branch or some earlier one?,82207724ff
How can I find the short commit ID on GitHub for my capstone project?,82207724ff
What does the command `git rev-parse --short HEAD` give me for submission?,82207724ff
"If I push more changes after sending the form, will reviewers see them?",82207724ff
How much time do we usually get to finish peer reviews after they get assigned for the capstone?,785b277339
"Is the peer review period really about one week, or does it depend on when the lead opens it?",785b277339
Where can I see the exact deadline for my assigned capstone reviews?,785b277339
"Do I need to calculate the peer review due date myself, or is it posted somewhere in the platform?",785b277339
What happens if I miss the peer review window for the project submission?,785b277339
"Are tools like ChatGPT, Claude, or Cursor allowed for the capstone project code?",2fed4b176c
"Can I use AI help on homework, the project, and peer reviews in this course?",2fed4b176c
Do I need to explain how I used AI if a reviewer asks about my design choices?,2fed4b176c
Should I mention AI in the README when it influenced major project decisions?,2fed4b176c
Is there any required disclosure form or signup for using AI tools in the project?,2fed4b176c
Where should I upload my capstone project for this cohort?,920bb7ead8
Is the capstone submission done on the course platform or somewhere else?,920bb7ead8
Do I use the current cohort page for project submission and peer review?,920bb7ead8
My old submission link is closed — where am I supposed to submit now?,920bb7ead8
"For the capstone, what site do I use to submit the project and do peer review?",920bb7ead8
"After I turn in the capstone, am I done with the certificate stuff, or do I still need to do anything else?",8471c98e1f
"How do I get assigned peer reviews for the capstone, and do I have to sign up somewhere first?",8471c98e1f
"Can I pick which projects I review, or are the review tasks assigned automatically after submissions close?",8471c98e1f
When will I be able to see my own capstone score and the feedback from other reviewers?,8471c98e1f
"My score is still blank after submitting the project — is that normal, or should I submit it again as another attempt?",8471c98e1f
Where can I find the capstone project submission dates for my cohort?,670737acd7
Are the capstone project deadlines the same for every cohort?,670737acd7
Should I check the current course platform or an old cohort page for the capstone deadline?,670737acd7
How do I know the dates for attempt 1 and attempt 2 in the capstone project?,670737acd7
Where on the course management platform are the capstone submission deadlines shown?,670737acd7
What score do I need on the capstone to pass and get the certificate?,4f03b674b8
Where can I see the current passing mark for the capstone project?,4f03b674b8
Does the minimum score for the capstone stay the same for every cohort?,4f03b674b8
"If I pass the capstone score, do I automatically get the certificate even if I skip peer reviews?",4f03b674b8
"How is the capstone project score checked, and what else do I need besides the score to qualify for the certificate?",4f03b674b8
How can I put my Streamlit app online so reviewers can open it for the cloud deployment bonus?,010794bfff
"Can I use Vercel, Netlify, or GitHub Pages for a Streamlit app and still run it there?",010794bfff
What are the working hosting options for a Streamlit app in this capstone project?,010794bfff
How do I deploy Streamlit on GCP Cloud Run with Terraform and find the live URL?,010794bfff
"If I use Render or Fly.io, what’s the basic deployment flow to get a public link?",010794bfff
Why does Render keep shipping the last stage in my multi-stage Dockerfile instead of the service I expected?,5b343ea5b3
How can a Dockerfile work fine with docker-compose but still deploy the wrong container on Render?,5b343ea5b3
Is there any way in Render Blueprint to choose a specific build stage from a multi-stage Dockerfile?,5b343ea5b3
What should I do so the service I want stays the one Render runs when the Dockerfile has multiple stages?,5b343ea5b3
"How can I locally test the same build behavior Render uses, without passing --target?",5b343ea5b3
"Can I reuse the workshop content in my own capstone project, or is that not allowed?",d850a0e7ea
Is it okay to use dlt from this workshop in other Zoomcamp projects too?,d850a0e7ea
"Since dlt is open-source, does that mean I can take the workshop material and build on it for my own work?",d850a0e7ea
Can I apply this workshop’s stuff to the MLOps Zoomcamp project as well?,d850a0e7ea
"If I have questions while using the workshop material in a project, can I ask about it and use it directly?",d850a0e7ea
How do I start a new dlt project for loading from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem to duckdb project?,6bceeebf04
Is there a quick way to set up dlt with filesystem and DuckDB?,6bceeebf04
I want to load data from cloud using dlt — what’s the init command?,6bceeebf04
Where do I begin if I need a fresh dlt project for filesystem to DuckDB?,6bceeebf04
Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try to open the table?,0407213397
"I changed the table name but `db.open_table(""notion_pages___homework"")` still fails — what am I missing?",0407213397
How can I make sure my dlt pipeline creates the same table name that I open later?,0407213397
Is this error happening because I forgot to replace `employee_handbook` with `homework` somewhere in the pipeline?,0407213397
What table name should I use with `db.open_table(...)` if the pipeline was configured for the homework dataset?,0407213397
How can I see all the tables in the database?,e394e6f738
Is there a way to list the tables that are already in the DB?,e394e6f738
What method should I use to check which tables exist?,e394e6f738
How do I get a list of table names from the database?,e394e6f738
Can I use db.table_names() to find out what tables are there?,e394e6f738
"Does DLT support ClickHouse or StarRocks connectors yet, or not?",cd19f122f3
Are there any built-in connectors for ClickHouse and StarRocks in DLT?,cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
"Why doesn't DLT have ClickHouse or StarRocks connectors, and can the community add them?",cd19f122f3
Is there any plan for the DLT community to contribute connectors for ClickHouse or StarRocks?,cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls Notion API?,0dfba07ace
What should I check if the notebook says it doesn't have secret access for api.notion.com/v1/search?,0dfba07ace
Could this Notion API error be caused by a wrong or expired token?,0dfba07ace
How do I fix authorization problems when my dlt notebook can’t access Notion?,0dfba07ace
What are the main things to verify if the Notion endpoint keeps returning 401 in the workshop notebook?,0dfba07ace
How do I install the newer requests version directly from the source so lancedb works?,4b30b918bc
"My pip keeps pulling requests 2.28 instead of 2.32, what command should I use to force the right one?",4b30b918bc
What’s the exact pip install command for requests 2.32.3 from GitHub?,4b30b918bc
"If I get a 401 Client Error, could it be because the key access is wrong or the key itself is invalid?",4b30b918bc
"Why is requests installing the old version, and how can I override it with the GitHub zip release?",4b30b918bc
Why am I getting a 401 Unauthorized with my EU Logfire token even though it should work automatically?,46efd1088d
"Do I need to set the Logfire base URL manually for an EU write token, or should the SDK figure out the region?",46efd1088d
What order should I load my .env file and call logfire.configure() so the token gets picked up correctly?,46efd1088d
How can I tell if Logfire is using an old token from my shell instead of the one in my local .env?,46efd1088d
"If region detection is buggy in an older Logfire client, what is the fallback setting for the EU endpoint?",46efd1088d
"Can I put more than one JSONL folder into a single dlt pipeline, like separate Claude and Codex logs together?",671f72f4c4
How do I set up multiple filesystem resources and run them in one dlt job?,671f72f4c4
"If several log directories have the same JSONL layout, can they all write into one table?",671f72f4c4
What’s the easiest way to load different agent log folders into the same dataset with dlt?,671f72f4c4
"For mixed agent logs, should I use the raw reader approach before sending them to the pipeline?",671f72f4c4
"In the deployment lesson, why does `dlt.attach()` point to the wrong dataset name for the REST API pipeline dashboard?",c306f20bf3
How do I figure out which `dataset_name` my deployed REST API pipeline is actually writing to?,c306f20bf3
"Should `dlt.attach(""agent_traces"", destination=""playground"", dataset_name=...)` use `agent_logs` or `traces` for the REST API example?",c306f20bf3
Where in `rest_api_pipeline.py` can I check the dataset name that the pipeline was created with?,c306f20bf3
Why does using the filesystem pipeline dataset name in the dashboard attach cause issues with the deployed REST API pipeline?,c306f20bf3
How do I switch `agent.py` from OpenAI to Gemini in the dlt workshop homework?,dd53e420ef
What model string should I use in `faq_agent = Agent(...)` if I want Gemini instead of OpenAI?,dd53e420ef
"Do I need to change `SearchDeps`, the instructions, or the tool code when moving to Gemini?",dd53e420ef
Which API key do I need to add to `.env` for Gemini in this setup?,dd53e420ef
"Can I just replace `openai:` with `google:` in `homework/agent.py`, or is there anything else I should update?",dd53e420ef
